gene	spp	sumOfgenes
EOG80CKX3	6	6
EOG80CKX4	61	62
EOG80CKX5	72	124
EOG80CKX6	76	543
EOG80CKX7	71	79
EOG80CKX8	4	4
EOG80CKX9	31	76
EOG80CKXB	37	49
EOG80CKXC	70	84
EOG80CKXD	12	14
EOG80CKXG	73	116
EOG80CKXH	6	6
EOG80CKXJ	12	13
EOG80CKXK	65	69
EOG80CKXM	13	22
EOG80CKXN	3	3
EOG80CKXP	45	49
EOG80CKXQ	6	6
EOG80CKXS	73	75
EOG80CKXT	53	75
EOG80CKXV	5	8
EOG80CKXW	29	42
EOG80CKXX	6	8
EOG80CKXZ	66	76
EOG80CKZ0	4	8
EOG80CKZ1	9	9
EOG80CKZ2	75	84
EOG80CKZ3	71	74
EOG80CKZ4	53	63
EOG80CKZ5	12	15
EOG80CKZ6	38	40
EOG80CKZ7	5	9
EOG80CKZ8	8	8
EOG80CKZ9	2	2
EOG80CKZB	9	15
EOG80CKZC	6	6
EOG80CKZD	17	17
EOG80CKZF	14	15
EOG80CKZH	4	4
EOG80CKZJ	5	5
EOG80CKZK	8	8
EOG80CKZM	73	116
EOG80CKZN	9	10
EOG80CKZP	4	4
EOG80CKZQ	76	166
EOG80CKZR	71	74
EOG80CKZS	27	28
EOG80CKZV	7	55
EOG80CKZW	48	49
EOG80CKZX	8	8
EOG80CKZZ	20	20
EOG80CM00	15	15
EOG80CM01	5	9
EOG80CM03	14	17
EOG80CM04	3	3
EOG80CM08	5	5
EOG80CM09	18	18
EOG80CM0B	71	83
EOG80CM0C	3	3
EOG80CM0D	4	4
EOG80CM0F	5	5
EOG80CM0G	8	8
EOG80CM0H	15	29
EOG80CM0J	7	8
EOG80CM0M	71	78
EOG80CM0N	6	9
EOG80CM0P	4	4
EOG80CM0S	14	14
EOG80CM0T	9	9
EOG80CM0V	3	3
EOG80CM0W	6	6
EOG80CM0X	2	2
EOG80CM0Z	5	5
EOG80CM10	9	10
EOG80CM12	4	6
EOG80CM13	8	21
EOG80CM14	3	3
EOG80CM15	12	20
EOG80CM16	7	8
EOG80CM17	10	12
EOG80CM18	3	3
EOG80CM19	4	4
EOG80CM1B	4	5
EOG80CM1C	7	20
EOG80CM1D	9	22
EOG80CM1F	6	9
EOG80CM1G	2	2
EOG80CM1H	2	2
EOG80CM1J	3	3
EOG80CM1K	3	3
EOG80CM1M	5	5
EOG80CM1N	2	2
EOG80CM1P	4	10
EOG80CM1Q	2	2
EOG80CM1R	2	3
EOG80CM1S	3	3
EOG80CM1V	2	3
EOG80CM1W	6	6
EOG80CM1X	5	8
EOG80CM1Z	2	2
EOG80CM20	2	2
EOG80CM22	2	2
EOG80CM27	6	6
EOG80CM29	2	2
EOG80CM2B	2	2
EOG80CM2D	2	2
EOG80CM2F	6	6
EOG80CM2G	2	2
EOG80CM2H	2	2
EOG80CM2J	2	2
EOG80CM2K	6	7
EOG80CM2M	2	3
EOG80CM2N	2	2
EOG80CM2P	2	5
EOG80CM2Q	4	4
EOG80CM2T	6	13
EOG80CM2W	2	2
EOG80CM2X	2	2
EOG80CM2Z	7	7
EOG80CM30	5	6
EOG80CM32	3	4
EOG80GG4N	73	144
EOG80GG4P	74	125
EOG80GG4Q	13	16
EOG80GG4R	73	89
EOG80GG4T	75	101
EOG80GG4V	67	80
EOG80GG4W	72	79
EOG80GG4X	68	77
EOG80GG4Z	74	88
EOG80GG50	2	3
EOG80GG51	72	76
EOG80GG52	70	88
EOG80GG53	76	83
EOG80GG54	6	7
EOG80GG55	72	81
EOG80GG56	3	3
EOG80GG57	74	84
EOG80GG58	67	134
EOG80GG59	6	6
EOG80GG5B	72	77
EOG80GG5C	59	227
EOG80GG5D	3	3
EOG80GG5F	60	82
EOG80GG5G	72	78
EOG80GG5H	74	82
EOG80GG5J	7	26
EOG80GG5K	69	82
EOG80GG5M	10	12
EOG80GG5N	58	63
EOG80GG5P	8	21
EOG80GG5Q	4	6
EOG80GG5R	74	101
EOG80GG5S	4	13
EOG80GG5T	70	73
EOG80GG5V	10	11
EOG80GG5W	74	79
EOG80GG5X	4	4
EOG80GG5Z	3	4
EOG80GG60	12	25
EOG80GG61	11	36
EOG80GG62	70	80
EOG80GG63	71	100
EOG80GG64	4	7
EOG80GG65	37	37
EOG80GG67	51	53
EOG80GG68	36	56
EOG80GG69	22	22
EOG80GG6B	65	67
EOG80GG6C	73	77
EOG80GG6D	66	79
EOG80GG6F	73	81
EOG80GG6G	4	5
EOG80GG6H	7	7
EOG80GG6J	64	72
EOG80GG6K	6	6
EOG80GG6M	5	5
EOG80GG6N	16	16
EOG80GG6P	22	22
EOG80GG6Q	3	3
EOG80GG6R	5	5
EOG80GG6S	9	12
EOG80GG6W	12	18
EOG80GG6X	28	47
EOG80GG6Z	68	72
EOG80GG70	15	17
EOG80GG71	65	1216
EOG80GG72	10	10
EOG80GG73	70	76
EOG80GG75	2	2
EOG80GG76	6	6
EOG80GG77	9	9
EOG80GG79	3	3
EOG80GG7B	13	15
EOG80GG7C	7	7
EOG80GG7D	3	3
EOG80GG7F	4	4
EOG80GG7H	23	24
EOG80GG7J	3	3
EOG80GG7K	8	8
EOG80GG7N	3	3
EOG80GG7P	2	2
EOG80GG7Q	5	5
EOG80GG7R	9	9
EOG80GG7T	23	25
EOG80GG7V	46	46
EOG80GG7W	3	3
EOG80GG7X	13	17
EOG80GG80	3	4
EOG80GG81	9	9
EOG80GG82	6	7
EOG80GG83	4	4
EOG80GG84	3	3
EOG80GG85	5	6
EOG80GG86	4	4
EOG80GG87	2	2
EOG80GG88	9	13
EOG80GG8B	2	2
EOG80GG8C	4	4
EOG80GG8D	2	2
EOG80GG8F	2	2
EOG80GG8G	2	2
EOG80GG8H	2	5
EOG80GG8J	4	35
EOG80GG8K	5	5
EOG80GG8M	4	4
EOG80GG8P	3	3
EOG80GG8Q	2	2
EOG80GG8W	2	2
EOG80GG8X	2	2
EOG80GG92	3	3
EOG80GG93	2	2
EOG80GG96	3	3
EOG80GG97	2	2
EOG80GG98	2	2
EOG80GG9B	2	2
EOG80GG9C	4	4
EOG80GG9G	2	2
EOG80GG9J	3	3
EOG80GG9M	2	2
EOG80GG9N	2	9
EOG80GG9P	2	2
EOG80GG9Q	2	2
EOG80GG9S	8	17
EOG80GG9T	6	15
EOG80GG9V	2	2
EOG80GG9W	2	7
EOG80KBCK	7	13
EOG80KBCM	75	105
EOG80KBCP	26	29
EOG80KBCQ	59	78
EOG80KBCR	5	5
EOG80KBCS	5	5
EOG80KBCT	22	22
EOG80KBCV	8	8
EOG80KBCW	28	88
EOG80KBCX	76	100
EOG80KBCZ	3	3
EOG80KBD0	29	39
EOG80KBD1	3	3
EOG80KBD2	66	67
EOG80KBD3	6	6
EOG80KBD4	27	43
EOG80KBD5	2	2
EOG80KBD6	38	44
EOG80KBD7	65	77
EOG80KBD8	39	50
EOG80KBDB	74	104
EOG80KBDC	2	2
EOG80KBDD	14	15
EOG80KBDF	5	5
EOG80KBDG	5	5
EOG80KBDJ	57	76
EOG80KBDM	66	85
EOG80KBDN	2	6
EOG80KBDP	3	3
EOG80KBDQ	11	23
EOG80KBDR	76	84
EOG80KBDS	7	18
EOG80KBDT	59	64
EOG80KBDV	70	77
EOG80KBDW	5	5
EOG80KBDX	75	83
EOG80KBDZ	4	4
EOG80KBF0	48	55
EOG80KBF1	11	12
EOG80KBF2	5	7
EOG80KBF3	3	3
EOG80KBF4	11	14
EOG80KBF5	27	28
EOG80KBF6	16	33
EOG80KBF7	5	5
EOG80KBF8	5	5
EOG80KBF9	3	3
EOG80KBFB	10	10
EOG80KBFC	3	3
EOG80KBFD	10	10
EOG80KBFF	68	79
EOG80KBFG	8	8
EOG80KBFH	9	9
EOG80KBFJ	4	24
EOG80KBFK	6	6
EOG80KBFM	68	80
EOG80KBFN	8	8
EOG80KBFP	3	3
EOG80KBFQ	6	6
EOG80KBFS	22	25
EOG80KBFT	2	2
EOG80KBFV	30	32
EOG80KBFW	7	7
EOG80KBFX	3	3
EOG80KBFZ	5	5
EOG80KBG0	3	3
EOG80KBG2	5	5
EOG80KBG4	3	5
EOG80KBG6	16	19
EOG80KBG7	68	74
EOG80KBG8	5	10
EOG80KBG9	15	24
EOG80KBGB	12	13
EOG80KBGC	10	10
EOG80KBGD	3	3
EOG80KBGF	3	3
EOG80KBGG	19	19
EOG80KBGH	3	3
EOG80KBGJ	2	2
EOG80KBGK	12	12
EOG80KBGM	3	3
EOG80KBGP	7	7
EOG80KBGQ	19	19
EOG80KBGR	10	11
EOG80KBGS	12	20
EOG80KBGT	4	4
EOG80KBGV	6	7
EOG80KBGX	5	5
EOG80KBGZ	4	4
EOG80KBH0	10	10
EOG80KBH1	8	15
EOG80KBH2	13	13
EOG80KBH4	8	18
EOG80KBH5	7	7
EOG80KBH6	2	2
EOG80KBH7	3	3
EOG80KBH9	2	2
EOG80KBHC	2	2
EOG80KBHD	2	2
EOG80KBHG	7	25
EOG80KBHJ	2	2
EOG80KBHK	2	2
EOG80KBHM	2	2
EOG80KBHN	2	2
EOG80KBHP	3	8
EOG80KBHQ	2	2
EOG80KBHR	3	5
EOG80KBHT	3	3
EOG80KBHV	3	3
EOG80KBHW	3	3
EOG80KBHX	1	4
EOG80KBHZ	2	2
EOG80KBJ0	3	3
EOG80KBJ1	2	2
EOG80KBJ2	11	33
EOG80KBJ4	2	2
EOG80KBJ5	3	3
EOG80KBJ6	2	2
EOG80KBJ7	2	2
EOG80KBJ8	2	2
EOG80KBJ9	2	2
EOG80KBJD	2	2
EOG80KBJF	2	2
EOG80KBJH	3	3
EOG80KBJJ	3	3
EOG80KBJK	7	13
EOG80KBJM	2	2
EOG80KBJN	3	4
EOG80KBJP	2	4
EOG80KBJQ	2	2
EOG80KBJR	2	2
EOG80KBJT	2	3
EOG80KBJV	2	3
EOG80KBJW	2	2
EOG80P6MJ	73	97
EOG80P6MK	65	103
EOG80P6MM	43	57
EOG80P6MN	38	52
EOG80P6MP	73	97
EOG80P6MQ	2	2
EOG80P6MR	72	81
EOG80P6MS	76	109
EOG80P6MT	68	73
EOG80P6MV	36	37
EOG80P6MW	32	36
EOG80P6MX	65	115
EOG80P6MZ	7	7
EOG80P6N0	3	4
EOG80P6N1	18	22
EOG80P6N2	73	97
EOG80P6N3	72	76
EOG80P6N4	3	3
EOG80P6N5	75	99
EOG80P6N6	2	3
EOG80P6N7	74	78
EOG80P6N8	18	18
EOG80P6N9	2	2
EOG80P6NB	2	2
EOG80P6ND	76	651
EOG80P6NF	76	319
EOG80P6NG	54	64
EOG80P6NH	14	14
EOG80P6NJ	6	8
EOG80P6NK	11	21
EOG80P6NM	8	11
EOG80P6NN	6	7
EOG80P6NP	47	52
EOG80P6NQ	10	12
EOG80P6NR	4	4
EOG80P6NS	5	5
EOG80P6NT	7	8
EOG80P6NV	8	8
EOG80P6NW	27	35
EOG80P6NX	7	7
EOG80P6NZ	5	6
EOG80P6P0	4	5
EOG80P6P1	65	71
EOG80P6P2	10	16
EOG80P6P3	37	41
EOG80P6P4	5	6
EOG80P6P5	76	151
EOG80P6P6	4	4
EOG80P6P7	76	294
EOG80P6P8	6	14
EOG80P6P9	6	6
EOG80P6PB	12	12
EOG80P6PC	76	287
EOG80P6PD	34	57
EOG80P6PF	6	6
EOG80P6PG	67	70
EOG80P6PH	74	80
EOG80P6PJ	5	5
EOG80P6PK	7	11
EOG80P6PM	5	5
EOG80P6PN	4	4
EOG80P6PP	17	17
EOG80P6PQ	5	5
EOG80P6PR	4	4
EOG80P6PV	76	304
EOG80P6PW	3	3
EOG80P6PX	23	23
EOG80P6Q0	3	3
EOG80P6Q1	63	76
EOG80P6Q2	11	12
EOG80P6Q3	5	5
EOG80P6Q4	6	6
EOG80P6Q6	18	19
EOG80P6Q7	5	5
EOG80P6Q9	4	4
EOG80P6QB	61	61
EOG80P6QC	3	3
EOG80P6QD	7	9
EOG80P6QF	4	4
EOG80P6QG	23	62
EOG80P6QJ	70	81
EOG80P6QK	5	5
EOG80P6QM	2	2
EOG80P6QN	5	5
EOG80P6QP	6	7
EOG80P6QQ	3	3
EOG80P6QR	6	6
EOG80P6QS	2	2
EOG80P6QT	4	4
EOG80P6QV	5	5
EOG80P6QW	53	59
EOG80P6QX	8	13
EOG80P6R0	4	4
EOG80P6R1	2	3
EOG80P6R2	8	8
EOG80P6R3	5	11
EOG80P6R4	3	3
EOG80P6R5	3	3
EOG80P6R6	4	5
EOG80P6R9	2	3
EOG80P6RB	2	2
EOG80P6RC	2	2
EOG80P6RD	2	2
EOG80P6RF	2	2
EOG80P6RG	3	4
EOG80P6RH	2	2
EOG80P6RJ	2	2
EOG80P6RK	3	3
EOG80P6RM	2	2
EOG80P6RR	5	5
EOG80P6RS	2	13
EOG80P6RT	2	2
EOG80P6RW	2	2
EOG80P6S1	2	2
EOG80P6S2	2	2
EOG80P6S4	2	2
EOG80P6S5	2	2
EOG80P6S6	3	3
EOG80P6S7	2	2
EOG80P6S8	6	7
EOG80P6S9	2	2
EOG80P6SB	4	5
EOG80P6SC	2	2
EOG80P6SF	3	3
EOG80P6SG	3	3
EOG80P6SH	4	4
EOG80P6SJ	3	3
EOG80P6SK	2	2
EOG80P6SM	5	6
EOG80P6SP	2	3
EOG80P6SQ	2	3
EOG80P6SR	3	5
EOG80P6SS	2	2
EOG80P6ST	3	11
EOG80P6SV	1	3
EOG80P6SW	2	7
EOG80S2VF	8	8
EOG80S2VG	64	84
EOG80S2VH	75	92
EOG80S2VJ	61	66
EOG80S2VK	18	19
EOG80S2VM	14	17
EOG80S2VN	73	84
EOG80S2VP	7	7
EOG80S2VQ	6	7
EOG80S2VR	28	29
EOG80S2VT	14	32
EOG80S2VV	7	8
EOG80S2VW	6	7
EOG80S2VX	28	32
EOG80S2VZ	74	79
EOG80S2W0	3	3
EOG80S2W1	36	58
EOG80S2W2	42	44
EOG80S2W3	3	3
EOG80S2W4	6	6
EOG80S2W5	23	24
EOG80S2W6	73	89
EOG80S2W7	3	6
EOG80S2W8	74	80
EOG80S2W9	3	3
EOG80S2WB	10	15
EOG80S2WC	70	318
EOG80S2WD	3	3
EOG80S2WF	4	4
EOG80S2WG	54	58
EOG80S2WH	8	11
EOG80S2WJ	76	461
EOG80S2WK	41	54
EOG80S2WM	5	5
EOG80S2WN	2	2
EOG80S2WP	33	35
EOG80S2WQ	10	14
EOG80S2WR	73	77
EOG80S2WS	73	98
EOG80S2WV	11	11
EOG80S2WW	5	7
EOG80S2WX	70	83
EOG80S2WZ	3	3
EOG80S2X0	12	12
EOG80S2X1	23	26
EOG80S2X2	74	129
EOG80S2X3	7	7
EOG80S2X4	26	29
EOG80S2X5	7	7
EOG80S2X6	6	11
EOG80S2X7	18	49
EOG80S2X8	4	4
EOG80S2X9	57	72
EOG80S2XB	38	40
EOG80S2XC	4	5
EOG80S2XG	35	36
EOG80S2XH	6	6
EOG80S2XJ	4	4
EOG80S2XK	4	4
EOG80S2XM	6	7
EOG80S2XN	3	3
EOG80S2XP	12	12
EOG80S2XQ	4	4
EOG80S2XS	6	7
EOG80S2XT	4	4
EOG80S2XV	7	11
EOG80S2XW	3	3
EOG80S2XX	63	63
EOG80S2XZ	11	12
EOG80S2Z0	3	3
EOG80S2Z1	24	52
